order_id,order_date,region,product_id,product_name,quantity,unit_price,amount
ORD-1027,2026-01-07,Nagoya,P-100,Standard plan,1,4980,4980
ORD-1028,2026-01-07,Tokyo,A-010,Onboarding,1,30000,30000
ORD-1029,2026-01-07,Fukuoka,P-300,Enterprise plan,5,49800,249000
ORD-1030,2026-01-07,Nagoya,P-300,Enterprise plan,4,49800,199200
ORD-1031,2026-01-07,Nagoya,P-100,Standard plan,4,4980,19920
ORD-1032,2026-01-08,Tokyo,P-100,Standard plan,4,4980,19920
ORD-1033,2026-01-08,Osaka,P-200,Pro plan,3,12800,38400
ORD-1034,2026-01-08,Fukuoka,P-200,Pro plan,4,12800,51200
ORD-1035,2026-01-09,Fukuoka,P-100,Standard plan,2,4980,9960
ORD-1036,2026-01-09,Nagoya,A-010,Onboarding,5,30000,150000
ORD-1037,2026-01-09,Sapporo,P-200,Pro plan,4,12800,51200
ORD-1038,2026-01-09,Nagoya,P-300,Enterprise plan,4,49800,199200
ORD-1039,2026-01-09,Osaka,A-010,Onboarding,2,30000,60000
ORD-1040,2026-01-10,Osaka,P-200,Pro plan,2,12800,25600
ORD-1041,2026-01-10,Fukuoka,P-200,Pro plan,1,12800,12800
ORD-1042,2026-01-11,Nagoya,P-200,Pro plan,3,12800,38400
ORD-1043,2026-01-11,Fukuoka,P-100,Standard plan,2,4980,9960
ORD-1044,2026-01-11,Sapporo,P-300,Enterprise plan,5,49800,249000
ORD-1045,2026-01-11,Sapporo,P-300,Enterprise plan,2,49800,99600
ORD-1046,2026-01-11,Sapporo,P-100,Standard plan,4,4980,19920
ORD-1047,2026-01-11,Fukuoka,A-010,Onboarding,4,30000,120000
ORD-1048,2026-01-12,Fukuoka,P-100,Standard plan,4,4980,19920
ORD-1049,2026-01-12,Tokyo,P-100,Standard plan,2,4980,9960
ORD-1050,2026-01-12,Osaka,P-200,Pro plan,4,12800,5120000
ORD-1051,2026-01-12,Sapporo,P-100,Standard plan,3,4980,14940
ORD-1052,2026-01-12,Tokyo,P-100,Standard plan,1,4980,4980
ORD-1053,2026-01-13,Tokyo,P-200,Pro plan,5,12800,64000
ORD-1054,2026-01-13,Tokyo,P-300,Enterprise plan,5,49800,249000
ORD-1055,2026-01-13,Sapporo,P-100,Standard plan,2,4980,9960
ORD-1056,2026-01-13,Nagoya,A-010,Onboarding,2,30000,60000
ORD-1057,2026-01-13,Nagoya,P-300,Enterprise plan,5,49800,249000
ORD-1058,2026-01-13,Tokyo,A-010,Onboarding,1,30000,30000
ORD-1059,2026-01-14,Fukuoka,A-010,Onboarding,4,30000,120000
ORD-1060,2026-01-14,Osaka,P-300,Enterprise plan,1,49800,49800
ORD-1061,2026-01-14,Nagoya,P-100,Standard plan,3,4980,14940
ORD-1062,2026-01-14,Sapporo,A-010,Onboarding,2,30000,60000
ORD-1063,2026-01-14,Sapporo,P-100,Standard plan,2,4980,9960
ORD-1064,2026-01-15,Tokyo,P-200,Pro plan,5,12800,64000
ORD-1065,2026-01-15,Nagoya,P-300,Enterprise plan,1,49800,49800
ORD-1066,2026-01-15,Nagoya,P-300,Enterprise plan,2,49800,99600
ORD-1067,2026-01-15,Sapporo,P-200,Pro plan,5,12800,64000
ORD-1068,2026-01-16,Sapporo,P-300,Enterprise plan,2,49800,99600
ORD-1069,2026-01-16,Fukuoka,P-200,Pro plan,2,12800,25600
ORD-1070,2026-01-16,Sapporo,P-200,Pro plan,2,12800,25600
ORD-1071,2026-01-16,Tokyo,A-010,Onboarding,3,30000,90000
ORD-1072,2026-01-16,Fukuoka,P-100,Standard plan,3,4980,14940
ORD-1073,2026-01-16,Sapporo,P-300,Enterprise plan,2,49800,99600
ORD-1074,2026-01-17,Nagoya,A-010,Onboarding,3,30000,90000
ORD-1075,2026-01-17,Tokyo,P-100,Standard plan,2,4980,9960
ORD-1076,2026-01-17,Osaka,P-200,Pro plan,4,12800,51200
ORD-1077,2026-01-17,Fukuoka,P-300,Enterprise plan,2,49800,99600
ORD-1078,2026-01-18,Nagoya,P-100,Standard plan,4,4980,19920
ORD-1079,2026-01-18,Fukuoka,P-100,Standard plan,1,4980,4980
ORD-1080,2026-01-18,Osaka,P-200,Pro plan,4,12800,51200
ORD-1081,2026-01-18,Tokyo,A-010,Onboarding,3,30000,90000
ORD-1082,2026-01-18,Fukuoka,A-010,Onboarding,4,30000,120000
ORD-1083,2026-01-18,Osaka,P-100,Standard plan,2,4980,9960
ORD-1084,2026-01-19,Sapporo,P-100,Standard plan,2,4980,9960
ORD-1085,2026-01-19,Sapporo,A-010,Onboarding,2,30000,60000
ORD-1086,2026-01-19,Osaka,A-010,Onboarding,3,30000,90000
ORD-1087,2026-01-20,Tokyo,P-200,Pro plan,1,12800,12800
ORD-1088,2026-01-20,Osaka,P-100,Standard plan,5,4980,24900
ORD-1089,2026-01-20,Osaka,A-010,Onboarding,2,30000,60000
ORD-1090,2026-01-20,Osaka,P-100,Standard plan,3,4980,14940
ORD-1091,2026-01-20,Osaka,P-300,Enterprise plan,5,49800,249000
ORD-1092,2026-01-20,Sapporo,P-300,Enterprise plan,3,49800,149400
ORD-1093,2026-01-21,Nagoya,P-200,Pro plan,1,12800,12800
ORD-1094,2026-01-21,Sapporo,A-010,Onboarding,5,30000,150000
ORD-1095,2026-01-21,Osaka,A-010,Onboarding,5,30000,150000
ORD-1096,2026-01-21,Sapporo,P-200,Pro plan,5,12800,64000
ORD-1097,2026-01-21,Osaka,P-100,Standard plan,4,4980,19920
ORD-1098,2026-01-22,Osaka,P-100,Standard plan,2,4980,9960
ORD-1099,2026-01-22,Sapporo,P-200,Pro plan,4,12800,51200
ORD-1100,2026-01-22,Tokyo,P-100,Standard plan,5,4980,24900
ORD-1101,2026-01-22,Sapporo,P-300,Enterprise plan,5,49800,249000
ORD-1102,2026-01-22,Sapporo,A-010,Onboarding,1,30000,30000
ORD-1103,2026-01-22,Osaka,P-100,Standard plan,2,4980,9960
ORD-1104,2026-01-23,Sapporo,P-100,Standard plan,1,4980,4980
ORD-1105,2026-01-23,Tokyo,A-010,Onboarding,5,30000,150000
ORD-1106,2026-01-23,Nagoya,P-100,Standard plan,4,4980,19920
ORD-1107,2026-01-23,Fukuoka,P-200,Pro plan,3,12800,38400
ORD-1108,2026-01-24,Osaka,A-010,Onboarding,5,30000,150000
ORD-1109,2026-01-24,Osaka,P-300,Enterprise plan,5,49800,249000
ORD-1110,2026-01-24,Fukuoka,A-010,Onboarding,2,30000,60000
ORD-1111,2026-01-24,Fukuoka,P-100,Standard plan,4,4980,19920
ORD-1112,2026-01-24,Osaka,P-300,Enterprise plan,1,49800,49800
ORD-1113,2026-01-24,Osaka,A-010,Onboarding,1,30000,30000
ORD-1114,2026-01-25,Nagoya,P-100,Standard plan,2,4980,9960
ORD-1115,2026-01-25,Osaka,P-200,Pro plan,3,12800,38400
ORD-1116,2026-01-25,Tokyo,A-010,Onboarding,2,30000,60000
ORD-1117,2026-01-25,Osaka,A-010,Onboarding,4,30000,120000
ORD-1118,2026-01-26,Sapporo,P-200,Pro plan,4,12800,51200
ORD-1119,2026-01-26,Fukuoka,A-010,Onboarding,3,30000,90000
ORD-1120,2026-01-26,Nagoya,P-200,Pro plan,3,-4980,38400
ORD-1121,2026-01-27,Nagoya,P-300,Enterprise plan,1,49800,49800
ORD-1122,2026-01-27,Tokyo,A-010,Onboarding,4,30000,120000
ORD-1123,2026-01-28,Sapporo,P-300,Enterprise plan,5,49800,249000
ORD-1124,2026-01-28,Tokyo,P-300,Enterprise plan,5,49800,249000
ORD-1125,2026-01-28,Tokyo,P-100,Standard plan,2,4980,9960
ORD-1126,2026-01-28,Nagoya,P-100,Standard plan,3,4980,14940
ORD-1127,2026-01-28,Nagoya,P-100,Standard plan,2,4980,9960
ORD-1128,2026-01-29,Fukuoka,A-010,Onboarding,3,30000,90000
ORD-1129,2026-01-29,Sapporo,P-200,Pro plan,5,12800,64000
ORD-1130,2026-01-29,Tokyo,A-010,Onboarding,3,30000,90000
ORD-1131,2026-01-30,Fukuoka,P-100,Standard plan,2,4980,9960
ORD-1132,2026-01-30,Tokyo,P-100,Standard plan,3,4980,14940
ORD-1133,2026-01-30,Tokyo,P-100,Standard plan,3,4980,14940
ORD-1134,2026-01-30,Nagoya,P-200,Pro plan,1,12800,12800
ORD-1135,2026-01-31,Nagoya,A-010,Onboarding,1,30000,30000
ORD-1136,2026-01-31,Sapporo,A-010,Onboarding,3,30000,90000
ORD-1137,2026-02-01,Osaka,P-100,Standard plan,5,4980,24900
ORD-1138,2026-02-01,Nagoya,P-100,Standard plan,2,4980,9960
ORD-1139,2026-02-01,Osaka,P-100,Standard plan,2,4980,9960
ORD-1140,2026-02-02,Osaka,P-300,Enterprise plan,5,49800,249000
ORD-1141,2026-02-02,Sapporo,P-300,Enterprise plan,4,49800,199200
ORD-1142,2026-02-02,Nagoya,P-200,Pro plan,3,12800,38400
ORD-1143,2026-02-02,Tokyo,P-100,Standard plan,3,4980,14940
ORD-1144,2026-02-03,Sapporo,P-100,Standard plan,5,4980,24900
ORD-1145,2026-02-03,Fukuoka,P-200,Pro plan,5,12800,64000
ORD-1146,2026-02-04,Fukuoka,A-010,Onboarding,1,30000,30000
ORD-1147,2026-02-04,Fukuoka,A-010,Onboarding,5,30000,150000
ORD-1148,2026-02-04,Osaka,P-300,Enterprise plan,2,49800,99600
ORD-1149,2026-02-05,Fukuoka,P-200,Pro plan,2,12800,25600
ORD-1150,2026-02-05,Osaka,P-300,Enterprise plan,1,49800,49800
ORD-1151,2026-02-05,Nagoya,P-100,Standard plan,1,4980,4980
ORD-1152,2026-02-05,Tokyo,A-010,Onboarding,2,30000,60000
ORD-1153,2026-02-06,Nagoya,A-010,Onboarding,5,30000,150000
ORD-1154,2026-02-06,Tokyo,P-200,Pro plan,3,12800,38400
ORD-1155,2026-02-07,Nagoya,P-200,Pro plan,2,12800,25600
ORD-1156,2026-02-07,Nagoya,A-010,Onboarding,1,30000,30000
ORD-1157,2026-02-07,Sapporo,P-300,Enterprise plan,3,49800,149400
ORD-1158,2026-02-07,Tokyo,P-300,Enterprise plan,2,49800,99600
ORD-1159,2026-02-07,Nagoya,P-300,Enterprise plan,2,49800,99600
ORD-1160,2026-02-08,Fukuoka,P-100,Standard plan,3,4980,14940
ORD-1161,2026-02-08,Nagoya,P-100,Standard plan,4,4980,19920
ORD-1162,2026-02-08,Sapporo,P-200,Pro plan,2,12800,25600
ORD-1163,2026-02-09,Tokyo,P-100,Standard plan,3,4980,14940
ORD-1164,2026-02-09,Sapporo,P-200,Pro plan,4,12800,51200
ORD-1165,2026-02-10,Nagoya,A-010,Onboarding,1,30000,30000
ORD-1166,2026-02-10,Tokyo,P-300,Enterprise plan,2,49800,99600
ORD-1167,2026-02-11,Fukuoka,P-200,Pro plan,5,12800,64000
ORD-1168,2026-02-11,Osaka,P-300,Enterprise plan,4,49800,199200
ORD-1169,2026-02-11,Osaka,P-300,Enterprise plan,5,49800,249000
ORD-1170,2026-02-11,Fukuoka,P-100,Standard plan,5,4980,24900
ORD-1171,2026-02-11,Sapporo,P-200,Pro plan,5,12800,64000
ORD-1172,2026-02-11,Osaka,P-100,Standard plan,5,4980,24900
ORD-1173,2026-02-12,Osaka,P-100,Standard plan,1,4980,4980
ORD-1174,2026-02-12,Fukuoka,P-300,Enterprise plan,1,49800,49800
ORD-1175,2026-02-13,Sapporo,P-100,Standard plan,1,4980,4980
ORD-1176,2026-02-13,Nagoya,P-200,Pro plan,4,12800,51200
ORD-1177,2026-02-13,Tokyo,P-100,Standard plan,4,4980,19920
ORD-1178,2026-02-13,Tokyo,P-100,Standard plan,5,4980,24900
ORD-1179,2026-02-13,Tokyo,A-010,Onboarding,3,30000,90000
ORD-1180,2026-02-14,Osaka,P-200,Pro plan,2,12800,25600
ORD-1181,2026-02-14,Fukuoka,A-010,Onboarding,4,30000,120000
ORD-1182,2026-02-14,Nagoya,P-100,Standard plan,4,4980,19920
ORD-1183,2026-02-14,Osaka,P-100,Standard plan,5,4980,24900
ORD-1184,2026-02-15,Nagoya,P-200,Pro plan,3,12800,38400
ORD-1185,2026-02-15,Sapporo,P-300,Enterprise plan,5,49800,249000
ORD-1186,2026-02-16,Tokyo,P-100,Standard plan,4,4980,19920
ORD-1187,2026-02-16,Tokyo,A-010,Onboarding,3,30000,90000
ORD-1188,2026-02-16,Nagoya,P-200,Pro plan,4,12800,51200
ORD-1189,2026-02-17,Fukuoka,P-300,Enterprise plan,4,49800,199200
ORD-1190,2026-02-17,Sapporo,A-010,Onboarding,1,30000,30000
ORD-1191,2026-02-17,Tokyo,P-200,Pro plan,3,12800,38400
ORD-1192,2026-02-17,Nagoya,A-010,Onboarding,1,30000,30000
ORD-1193,2026-02-17,Sapporo,A-010,Onboarding,1,30000,30000
ORD-1194,2026-02-17,Fukuoka,A-010,Onboarding,3,30000,90000
ORD-1195,2026-02-18,Sapporo,P-200,Pro plan,1,12800,12800
ORD-1196,2026-02-18,Sapporo,P-100,Standard plan,2,4980,9960
ORD-1197,2026-02-18,Osaka,P-300,Enterprise plan,3,49800,149400
ORD-1198,2026-02-19,Nagoya,P-300,Enterprise plan,1,49800,49800
ORD-1199,2026-02-19,Fukuoka,P-200,Pro plan,4,12800,51200
ORD-1200,2026-02-19,Osaka,A-010,Onboarding,1,30000,30000
ORD-1200,2026-02-19,Osaka,A-010,Onboarding,1,30000,30000
ORD-1201,2026-02-19,Fukuoka,P-100,Standard plan,4,4980,19920
ORD-1202,2026-02-19,Osaka,A-010,Onboarding,3,30000,90000
ORD-1203,2026-02-19,Fukuoka,A-010,Onboarding,3,30000,90000
ORD-1204,2026-02-20,Tokyo,P-100,Standard plan,3,4980,14940
ORD-1205,2026-02-20,Fukuoka,P-300,Enterprise plan,3,49800,149400
ORD-1206,2026-02-20,Tokyo,P-100,Standard plan,2,4980,9960
ORD-1207,2026-02-20,Nagoya,P-300,Enterprise plan,3,49800,149400
ORD-1208,2026-02-21,Sapporo,A-010,Onboarding,4,30000,120000
ORD-1209,2026-02-21,Fukuoka,P-100,Standard plan,3,4980,14940
ORD-1210,2026-02-22,Tokyo,P-100,Standard plan,3,4980,14940
ORD-1211,2026-02-22,Osaka,P-100,Standard plan,3,4980,14940
ORD-1212,2026-02-22,Fukuoka,P-200,Pro plan,3,12800,38400
ORD-1213,2026-02-22,Nagoya,P-300,Enterprise plan,2,49800,99600
ORD-1214,2026-02-23,Sapporo,P-100,Standard plan,4,4980,19920
ORD-1215,2026-02-23,Tokyo,P-200,Pro plan,1,12800,12800
ORD-1216,2026-02-23,Sapporo,A-010,Onboarding,4,30000,120000
ORD-1217,2026-02-23,Fukuoka,P-200,Pro plan,3,12800,38400
ORD-1218,2026-02-23,Osaka,P-100,Standard plan,5,4980,24900
ORD-1219,2026-02-24,Nagoya,A-010,Onboarding,4,30000,120000
ORD-1220,2026-02-24,Nagoya,P-300,Enterprise plan,3,49800,149400
ORD-1221,2026-02-24,Osaka,P-300,Enterprise plan,4,49800,199200
ORD-1222,2026-02-25,Fukuoka,A-010,Onboarding,5,30000,150000
ORD-1223,2026-02-25,Osaka,P-100,Standard plan,2,4980,9960
ORD-1224,2026-02-25,Sapporo,P-100,Standard plan,2,4980,9960
ORD-1225,2026-02-25,Osaka,A-010,Onboarding,5,30000,150000
ORD-1226,2026-02-26,Fukuoka,P-300,Enterprise plan,4,49800,199200
ORD-1227,2026-02-26,Osaka,P-200,Pro plan,5,12800,64000
ORD-1228,2026-02-26,Osaka,P-200,Pro plan,1,12800,12800
ORD-1229,2026-02-26,Tokyo,P-300,Enterprise plan,5,49800,249000
ORD-1230,2026-02-26,Nagoya,P-300,Enterprise plan,2,49800,99600
ORD-1231,2026-02-27,Fukuoka,P-200,Pro plan,1,12800,12800
ORD-1232,2026-02-27,Sapporo,A-010,Onboarding,4,30000,120000
ORD-1233,2026-02-27,Nagoya,P-200,Pro plan,4,12800,51200
ORD-1234,2026-02-27,Fukuoka,P-300,Enterprise plan,1,49800,49800
ORD-1235,2026-02-28,Sapporo,P-300,Enterprise plan,2,49800,99600
ORD-1236,2026-02-28,Nagoya,P-200,Pro plan,1,12800,12800
ORD-1237,2026-02-28,Fukuoka,P-200,Pro plan,4,12800,51200
ORD-1238,2026-02-28,Nagoya,A-010,Onboarding,4,30000,120000
ORD-1239,2026-03-01,Fukuoka,P-200,Pro plan,1,12800,12800
ORD-1240,2026-03-01,Fukuoka,A-010,Onboarding,5,30000,150000
ORD-1241,2026-03-02,Sapporo,P-100,Standard plan,4,4980,19920
ORD-1242,2026-03-02,Osaka,A-010,Onboarding,4,30000,120000
ORD-1243,2026-03-03,Osaka,P-200,Pro plan,2,12800,25600
ORD-1244,2026-03-03,Tokyo,P-100,Standard plan,4,4980,19920
ORD-1245,2026-03-04,Osaka,P-100,Standard plan,1,4980,4980
ORD-1246,2026-03-04,Tokyo,P-200,Pro plan,5,12800,64000
ORD-1247,2026-03-04,Nagoya,P-300,Enterprise plan,2,49800,99600
ORD-1248,2026-03-04,Tokyo,A-010,Onboarding,1,30000,30000
ORD-1249,2026-03-04,Sapporo,P-100,Standard plan,3,4980,14940
ORD-1250,2026-03-04,Nagoya,P-200,Pro plan,4,12800,51200
ORD-1251,2026-03-05,Sapporo,P-100,Standard plan,1,4980,4980
ORD-1252,2026-03-05,Nagoya,P-300,Enterprise plan,4,49800,199200
ORD-1253,2026-03-05,Fukuoka,P-300,Enterprise plan,2,49800,99600
ORD-1254,2026-03-06,Osaka,P-200,Pro plan,5,12800,64000
ORD-1255,2026-03-06,Nagoya,P-100,Standard plan,4,4980,19920
ORD-1256,2026-03-06,Osaka,P-100,Standard plan,1,4980,4980
ORD-1257,2026-03-06,Tokyo,A-010,Onboarding,4,30000,120000
ORD-1258,2026-03-06,Fukuoka,P-300,Enterprise plan,2,49800,99600
ORD-1259,2026-03-06,Fukuoka,P-300,Enterprise plan,2,49800,99600
ORD-1260,2026-03-07,Nagoya,P-300,Enterprise plan,4,49800,199200
ORD-1261,2026-03-07,Tokyo,A-010,Onboarding,2,30000,60000
ORD-1262,2026-03-08,Fukuoka,P-100,Standard plan,2,4980,9960
ORD-1263,2026-03-08,Osaka,P-200,Pro plan,3,12800,38400
ORD-1264,2026-03-08,Osaka,P-200,Pro plan,4,12800,51200
ORD-1265,2026-03-08,Tokyo,P-300,Enterprise plan,3,49800,149400
ORD-1266,2026-03-09,Osaka,A-010,Onboarding,5,30000,150000
ORD-1267,2026-03-09,Fukuoka,P-200,Pro plan,4,12800,51200
ORD-1268,2026-03-09,Osaka,P-100,Standard plan,5,4980,24900
ORD-1269,2026-03-09,Osaka,A-010,Onboarding,1,30000,30000
ORD-1270,2026-03-09,Osaka,P-100,Standard plan,5,4980,24900
ORD-1271,2026-03-09,Tokyo,A-010,Onboarding,1,30000,30000
ORD-1272,2026-03-10,Nagoya,A-010,Onboarding,4,30000,120000
ORD-1273,2026-03-10,Osaka,P-100,Standard plan,1,4980,4980
ORD-1274,2026-03-10,Osaka,P-300,Enterprise plan,2,49800,99600
ORD-1275,2026-03-11,Nagoya,A-010,Onboarding,1,30000,30000
ORD-1276,2026-03-11,Nagoya,A-010,Onboarding,3,30000,90000
ORD-1277,2026-03-11,Tokyo,A-010,Onboarding,2,30000,60000
ORD-1278,2026-03-11,Nagoya,P-100,Standard plan,1,4980,4980
ORD-1279,2026-03-11,Fukuoka,P-100,Standard plan,3,4980,14940
ORD-1280,2026-03-11,Osaka,P-100,Standard plan,5,4980,24900
ORD-1281,2026-03-12,Fukuoka,P-300,Enterprise plan,3,49800,149400
ORD-1282,2026-03-12,Fukuoka,P-100,Standard plan,1,4980,4980
ORD-1283,2026-03-12,Sapporo,P-200,Pro plan,3,12800,38400
ORD-1284,2026-03-12,Nagoya,A-010,Onboarding,2,30000,60000
ORD-1285,2026-03-12,Tokyo,P-300,Enterprise plan,4,49800,199200
ORD-1286,2026-03-13,Tokyo,P-200,Pro plan,4,12800,51200
ORD-1287,2026-03-13,Fukuoka,A-010,Onboarding,1,30000,30000
ORD-1288,2026-03-13,Nagoya,P-100,Standard plan,1,4980,4980
ORD-1289,2026-03-13,Sapporo,P-200,Pro plan,1,12800,12800
ORD-1290,2026-03-13,Nagoya,P-300,Enterprise plan,3,49800,149400
ORD-1291,2026-03-14,Nagoya,P-100,Standard plan,3,4980,14940
ORD-1292,2026-03-14,Tokyo,P-300,Enterprise plan,3,49800,149400
ORD-1293,2026-03-14,Osaka,P-100,Standard plan,1,4980,4980
ORD-1294,2026-03-14,Fukuoka,P-100,Standard plan,4,4980,19920
ORD-1295,2026-03-15,Fukuoka,P-300,Enterprise plan,4,49800,199200
ORD-1296,2026-03-15,Osaka,P-200,Pro plan,4,12800,51200
ORD-1297,2026-03-15,Osaka,P-100,Standard plan,3,4980,14940
ORD-1298,2026-03-15,Nagoya,P-200,Pro plan,3,12800,38400
ORD-1299,2026-02-30,Sapporo,A-010,Onboarding,3,30000,90000
ORD-1300,2026-03-16,Osaka,P-200,Pro plan,4,12800,51200
ORD-1301,2026-03-16,Tokyo,P-200,Pro plan,4,12800,51200
ORD-1302,2026-03-17,Sapporo,A-010,Onboarding,5,30000,150000
ORD-1303,2026-03-17,Fukuoka,P-300,Enterprise plan,2,49800,99600
ORD-1304,2026-03-18,Sapporo,P-100,Standard plan,3,4980,14940
ORD-1305,2026-03-18,Tokyo,P-100,Standard plan,2,4980,9960
ORD-1306,2026-03-19,Osaka,A-010,Onboarding,4,30000,120000
ORD-1307,2026-03-19,Fukuoka,P-200,Pro plan,2,12800,25600
ORD-1308,2026-03-19,Osaka,A-010,Onboarding,5,30000,150000
ORD-1309,2026-03-19,Nagoya,P-100,Standard plan,3,4980,14940
ORD-1310,2026-03-19,Nagoya,P-300,Enterprise plan,5,49800,249000
ORD-1311,2026-03-20,Osaka,P-300,Enterprise plan,3,49800,149400
ORD-1312,2026-03-20,Osaka,A-010,Onboarding,2,30000,60000
ORD-1313,2026-03-20,Osaka,P-200,Pro plan,2,12800,25600
ORD-1314,2026-03-20,Osaka,P-300,Enterprise plan,5,49800,249000
ORD-1315,2026-03-21,Nagoya,P-100,Standard plan,4,4980,19920
ORD-1316,2026-03-21,Sapporo,P-200,Pro plan,5,12800,64000
ORD-1317,2026-03-21,Fukuoka,P-200,Pro plan,1,12800,12800
ORD-1318,2026-03-21,Tokyo,P-100,Standard plan,1,4980,4980
ORD-1319,2026-03-22,Nagoya,P-200,Pro plan,4,12800,51200
ORD-1320,2026-03-22,Osaka,P-100,Standard plan,3,4980,14940
ORD-1321,2026-03-22,Osaka,P-100,Standard plan,1,4980,4980
ORD-1322,2026-03-22,Nagoya,P-200,Pro plan,1,12800,12800
ORD-1323,2026-03-22,Sapporo,P-200,Pro plan,4,12800,51200
ORD-1324,2026-03-23,Sapporo,P-100,Standard plan,1,4980,4980
ORD-1325,2026-03-23,Tokyo,P-300,Enterprise plan,2,49800,99600
ORD-1326,2026-03-23,Osaka,P-300,Enterprise plan,3,49800,149400
ORD-1327,2026-03-23,Nagoya,P-100,Standard plan,2,4980,9960
ORD-1328,2026-03-24,Nagoya,P-200,Pro plan,1,12800,12800
ORD-1329,2026-03-24,Osaka,A-010,Onboarding,3,30000,90000
ORD-1330,2026-03-25,Osaka,P-300,Enterprise plan,1,49800,49800
ORD-1331,2026-03-25,Sapporo,P-100,Standard plan,4,4980,19920
ORD-1332,2026-03-25,Fukuoka,A-010,Onboarding,1,30000,30000
ORD-1333,2026-03-25,Sapporo,P-100,Standard plan,4,4980,19920
ORD-1334,2026-03-25,Tokyo,P-200,Pro plan,5,12800,64000
ORD-1335,2026-03-25,Nagoya,P-200,Pro plan,4,12800,51200
ORD-1336,2026-03-26,Fukuoka,P-300,Enterprise plan,3,49800,149400
ORD-1337,2026-03-26,Sapporo,P-100,Standard plan,3,4980,14940
ORD-1338,2026-03-26,Fukuoka,P-300,Enterprise plan,4,49800,199200
ORD-1339,2026-03-26,Osaka,P-100,Standard plan,3,4980,14940
ORD-1340,2026-03-26,Osaka,A-010,Onboarding,4,30000,120000
ORD-1341,2026-03-27,Fukuoka,A-010,Onboarding,2,30000,60000
ORD-1342,2026-03-27,Fukuoka,P-100,Standard plan,1,4980,4980
ORD-1343,2026-03-28,Osaka,P-300,Enterprise plan,4,49800,199200
ORD-1344,2026-03-28,Tokyo,P-200,Pro plan,1,12800,12800
ORD-1345,2026-03-28,Tokyo,P-200,Pro plan,4,12800,51200
ORD-1346,2026-03-28,Osaka,P-300,Enterprise plan,5,49800,249000
ORD-1347,2026-03-28,Nagoya,P-200,Pro plan,3,12800,38400
ORD-1348,2026-03-28,Osaka,P-200,Pro plan,5,12800,64000
ORD-1349,2026-03-29,Fukuoka,P-100,Standard plan,4,4980,19920
ORD-1350,2026-03-29,Osaka,P-200,Pro plan,3,12800,38400
ORD-1351,2026-03-30,Tokyo,A-010,Onboarding,3,30000,90000
ORD-1352,2026-03-30,Sapporo,A-010,Onboarding,1,30000,30000
ORD-1353,2026-03-31,Fukuoka,P-200,Pro plan,5,12800,64000
ORD-1354,2026-03-31,Osaka,P-200,Pro plan,4,12800,51200
ORD-1355,2026-03-31,Fukuoka,P-200,Pro plan,1,12800,12800
ORD-1356,2026-04-01,Nagoya,P-200,Pro plan,4,12800,51200
ORD-1357,2026-04-01,Osaka,P-100,Standard plan,2,4980,9960
ORD-1358,2026-04-01,Sapporo,P-200,Pro plan,1,12800,12800
ORD-1359,2026-04-01,Tokyo,P-100,Standard plan,3,4980,14940
ORD-1360,2026-04-01,Fukuoka,A-010,Onboarding,5,30000,150000
ORD-1361,2026-04-01,Nagoya,P-300,Enterprise plan,4,49800,199200
